"Lokasyon","Array ID","Host Name","OS","Provisioned (TB)","Host WWN","Masking View","Storage Group"
"Istanbul","000297600649","ig_ebsprddb21","AIX","10.36","51402ec015522396 | 51402ec01552255c","mv_ebsprddb21; mv_ebsprddb2122","sg_ebsprddb21; sg_ebsprddb2122"
"Istanbul","000297600649","ig_kfttstrac01","VMware ESX","0.02","c0507608a6a50172 | c0507608a6a50173 | c0507608a6a50174 | c0507608a6a50175 | c0507608a6a50176 | c0507608a6a50177 | c0507608a6a50178 | c0507608a6a50179 | c0507608a6a5017a | c0507608a6a5017b | c0507608a6a5017c | c0507608a6a5017d | c0507608a6a5017e | c0507608a6a5017f | c0507608a6a50180 | c0507608a6a50181","mv_kfttstrac0102","sg_kfttstrac0102"
"Istanbul","000297600649","ig_msgsprdexc08","Windows","6.86","10009440c90f80f6 | 10009440c90f903f","mv_msgsprdexc08","sg_msgsprdexc08"
"Istanbul","000297600649","ig_msgsprdexc09","Windows","6.86","10009440c90f3281 | 10009440c90f9045","mv_msgsprdexc09","sg_msgsprdexc09"
"Istanbul","000297600649","ig_hmnprdapp04","VMware ESX","0.82","c0507606df5e00a8 | c0507606df5e00a9 | c0507606df5e00aa | c0507606df5e00ab | c0507606df5e00ac | c0507606df5e00ad | c0507606df5e00ae | c0507606df5e00af | c0507606df5e00b0 | c0507606df5e00b1 | c0507606df5e00b2 | c0507606df5e00b3 | c0507606df5e00b4 | c0507606df5e00b5 | c0507606df5e00b6 | c0507606df5e00b7","mv_hmnprdapp04","sg_hmnprdapp04"
"Istanbul","000297600649","ig_shrimp","Unknown","15.23","51402ec014842286 | 51402ec01484278e | 51402ec014842876 | 51402ec01484288e","mv_shrimp_catalog","sg_shrimp_catalog"
"Istanbul","000297600649","ig_pgmprdsimdb01","Unknown","16.5","51402ec0123fe9cc | 51402ec0123feb20","mv_pgmprdsimdb01","sg_pgmprdsimdb01"
"Istanbul","000297600649","ig_ctmprddb01","AIX","39.26","c0507608a6a50020 | c0507608a6a50021 | c0507608a6a50022 | c0507608a6a50023 | c0507608a6a50024 | c0507608a6a50025 | c0507608a6a50026 | c0507608a6a50027 | c0507608a6a50028 | c0507608a6a50029 | c0507608a6a5002a | c0507608a6a5002b | c0507608a6a5002c | c0507608a6a5002d | c0507608a6a5002e | c0507608a6a5002f","mv_ctmprddb01; mv_ctmprddb0102","sg_ctmprddb01; sg_ctmprddb0102"
"Istanbul","000297600649","ig_stoprdapp06","Linux","0","100000620b42465a","mv_stoprdapp06","sg_stoprdapp06"
"Istanbul","000297600649","ig_cbtstrac02_P10","Unknown","85.47","2100f4c7aa050ce0 | 2100f4c7aa050ce1 | 2100f4c7aa05106e | 2100f4c7aa05106f","mv_cbtstrac; mv_cbtstrac02","sg_cbtstrac; sg_cbtstrac02"
"Istanbul","000297600649","ig_cntprdcln04","Windows","67","51402ec012cadfbc | 51402ec012cadfe0","mv_cntprdcln04","sg_cntprdcln04"
"Istanbul","000297600649","ig_msgsprdexc07","Windows","6.86","10009440c90f320f | 10009440c90f32c9","mv_msgsprdexc07","sg_msgsprdexc07"
"Istanbul","000297600649","ig_maeprdapp01","VMware ESX","0.71","c050760435a005f4 | c050760435a005f5 | c050760435a005f6 | c050760435a005f7 | c050760435a005f8 | c050760435a005f9 | c050760435a005fa | c050760435a005fb | c050760435a005fc | c050760435a005fd | c050760435a005fe | c050760435a005ff | c050760435a00600 | c050760435a00601 | c050760435a00602 | c050760435a00603","mv_maeprdapp01","sg_maeprdapp01"
"Istanbul","000297600649","ig_cbprdrac01_ig2","Unknown","50.19","210034800dee0de2 | 2100f4c7aa04ac84 | 2100f4c7aa04ac85 | 2100f4c7aa04acc6 | 2100f4c7aa04acc7 | 2100f4c7aa04acec | 2100f4c7aa04aced | 2100f4c7aa04ad0f","mv_cbprdrac_3_hg2_pg3; mv_cbprdrac_4_hg2_pg4","sg_cbprdrac_3; sg_cbprdrac_4"
"Istanbul","000297600649","ig_ifmtstesx02","VMware ESX","2.5","51402ec0155228aa | 51402ec015522a1a","mv_ifmtstesx","sg_ifmtstesx"
"Istanbul","000297600649","ig_ebsprdres01","AIX","8.49","51402ec0123f467c | 51402ec0123f467e","mv_ebsprdres01","sg_ebsprdres01"
"Istanbul","000297600649","ig_stoprdapp02_GK","Linux","0","10009440c9d03b24 | 10009440c9d09c85","mv_stoprdapp02_gk","sg_stoprdapp02_gk"
"Istanbul","000297600649","ig_sceprddb05","AIX","12.42","c050760435a003e4 | c050760435a003e5 | c050760435a003e6 | c050760435a003e7 | c050760435a003e8 | c050760435a003e9 | c050760435a003ea | c050760435a003eb | c050760435a003ec | c050760435a003ed | c050760435a003ee | c050760435a003ef | c050760435a003f0 | c050760435a003f1 | c050760435a003f2 | c050760435a003f3","mv_sceprddb05","sg_sceprddb05"
"Istanbul","000297600649","ig_msgsprdexc02","Windows","6.86","10009440c90f80f9 | 10009440c90f9060","mv_msgsprdexc02","sg_msgsprdexc02"
"Istanbul","000297600649","ig_ytststdb01","AIX","4","c0507608a6a5005a | c0507608a6a5005b | c0507608a6a5005c | c0507608a6a5005d | c0507608a6a5005e | c0507608a6a5005f | c0507608a6a50060 | c0507608a6a50061 | c0507608a6a50062 | c0507608a6a50063 | c0507608a6a50064 | c0507608a6a50065 | c0507608a6a50066 | c0507608a6a50067 | c0507608a6a50068 | c0507608a6a50069","mv_ytststdb01","sg_ytststdb01"
"Istanbul","000297600649","ig_atmprddb04_new","Windows","38.59","100000620b435aae | 100000620b435aaf | 100000620b435c81 | 100000620b435c82","mv_atmprddb04","sg_atmprddb04"
"Istanbul","000297600649","ig_swprdmq05","AIX","0.44","c0507609efc80160 | c0507609efc80161 | c0507609efc80162 | c0507609efc80163 | c0507609efc80164 | c0507609efc80165 | c0507609efc80166 | c0507609efc80167 | c0507609efc80174 | c0507609efc80175 | c0507609efc80176 | c0507609efc80177 | c0507609efc80178 | c0507609efc80179 | c0507609efc8017a | c0507609efc8017b","mv_swprdmq0405; mv_swprdmq05","sg_swprdmq0405; sg_swprdmq05"
"Istanbul","000297600649","ig_nbuprdmst02","Unknown","14.17","51402ec012cb1d24 | 51402ec012cb1d2c | 51402ec012cb1d58 | 51402ec012cb29c4","mv_nbuprdmst02","sg_nbuprdmst02"
"Istanbul","000297600649","ig_apdprdmgt02","Unknown","5","51402ec0123fcc08 | 51402ec0123fcc0a","mv_apdprdmgt02","sg_apdprdmgt02"
"Istanbul","000297600649","cbprdrac03_ig1","AIX","54.39","100070b7e413cd3c | 100070b7e413cd3d | 100070b7e413cf75 | 100070b7e413cf87 | 100070b7e413cf88 | 100070b7e413cf8b | 100070b7e413cf8d | 100070b7e413cf8e","mv_cbprdrac03_os; mv_cbprdrac_1_hg1_pg1; mv_cbprdrac_2_hg1_pg2; mv_cbprdrac_os_shared; mv_cbprdrac_vote","sg_cbprdrac03_os; sg_cbprdrac_1; sg_cbprdrac_2; sg_cbprdrac_os_shared; sg_cbprdrac_vote"
"Istanbul","000297600649","ig_ebsprddb22","AIX","10.36","51402ec015523a4a | 51402ec015523afa","mv_ebsprddb2122; mv_ebsprddb22","sg_ebsprddb2122; sg_ebsprddb22"
"Istanbul","000297600649","ig_msgsprdexc06","Windows","6.86","10009440c90f80f1 | 10009440c90f9001","mv_msgsprdexc06","sg_msgsprdexc06"
"Istanbul","000297600649","ig_cbtstrac01","Unknown","85.47","2100f4c7aa051096 | 2100f4c7aa051097 | 2100f4c7aa05116a | 2100f4c7aa05116b","mv_cbtstrac; mv_cbtstrac01","sg_cbtstrac; sg_cbtstrac01"
"Istanbul","000297600649","ig_msgsprdexc03","Windows","7.86","10009440c90f3233 | 10009440c90f3266","mv_msgsprdexc03","sg_msgsprdexc03"
