"HostName","Location"
"IDMPRDRAC01","HUAWEI-001-AT32"
"IDMPRDRAC02","HUAWEI-001-AT32"
"DAPRDKFK10","HUAWEI-001-AT32"
"VPSPRDRAC01","HUAWEI-001-AT32"
"VPSPRDRAC02","HUAWEI-001-AT32"
"ODTSTDB01","HUAWEI-001-AT32"
"EBSTSTDB21","HUAWEI-001-AT32"
"EBSTSTAPP21","HUAWEI-001-AT32"
"EBSTSTDMZ21","HUAWEI-001-AT32"
"BNXEARPRDCLN51","HUAWEI-002-SOL5"
"SWTSTMGW50","HUAWEI-002-SOL5"
"SWTSTMGW51","HUAWEI-002-SOL5"
"LSXDRCESX01","HUAWEI-002-SOL5"
"LSXDRCESX02","HUAWEI-002-SOL5"
"DADRCKFK51","HUAWEI-002-SOL5"
"DADRCKFK52","HUAWEI-002-SOL5"
"DADRCKFK53","HUAWEI-002-SOL5"
"DADRCKFK54","HUAWEI-002-SOL5"
"DADRCKFK55","HUAWEI-002-SOL5"
"EBSTSTDMZ51","HUAWEI-002-SOL5"
"GENDRCRAC85","HUAWEI-002-SOL5"
"GENDRCRAC86","HUAWEI-002-SOL5"
"CLWDRCGENGPU1105","HUAWEI-002-SOL5"
"CLWDRCGENGPU1103","HUAWEI-002-SOL5"
"FFDRCDB03","HUAWEI-002-SOL5"
"LSXPRDRAC91","HUAWEI-002-SOL5"
"LSXPRDRAC92","HUAWEI-002-SOL5"
"ODDRCRAC01","HUAWEI-002-SOL5"
"ODDRCRAC02","HUAWEI-002-SOL5"
"BTDRCLX23","HUAWEI-002-SOL5"
"BTDRCLX22","HUAWEI-002-SOL5"
"EDTSTDB51","HUAWEI-002-SOL5"
"CBDRCRAC01","HUAWEI-002-SOL5"
"CBDRCRAC02","HUAWEI-002-SOL5"
"ATLTSTRAC51","HUAWEI-002-SOL5"
"ATLTSTRAC52","HUAWEI-002-SOL5"
"CBPREDB91","HUAWEI-002-SOL5"
"CCDRCCLN15","HUAWEI-002-SOL5"
"BTDRCLX03","HUAWEI-002-SOL5"
"BTDRCLX06","HUAWEI-002-SOL5"
"BTDRCLX09","HUAWEI-002-SOL5"
"BTDRCLX10","HUAWEI-002-SOL5"
"BTDRCLX11","HUAWEI-002-SOL5"
"BTDRCLX12","HUAWEI-002-SOL5"
"BTDRCLX13","HUAWEI-002-SOL5"
"BTDRCLX14","HUAWEI-002-SOL5"
"BTDRCLX15","HUAWEI-002-SOL5"
"BTDRCLX16","HUAWEI-002-SOL5"
"BTDRCLX17","HUAWEI-002-SOL5"
"BTDRCLX18","HUAWEI-002-SOL5"
"BTDRCLX19","HUAWEI-002-SOL5"
"BTDRCLX20","HUAWEI-002-SOL5"
"BTDRCLX21","HUAWEI-002-SOL5"
"BTDRCLX24","HUAWEI-002-SOL5"
"BTDRCLX25","HUAWEI-002-SOL5"
"BTDRCLX26","HUAWEI-002-SOL5"
"BTDRCLX27","HUAWEI-002-SOL5"
"BTDRCLX28","HUAWEI-002-SOL5"
"BTDRCLX29","HUAWEI-002-SOL5"
"BTDRCLX30","HUAWEI-002-SOL5"
"BTDRCLX31","HUAWEI-002-SOL5"
"BTDRCLX32","HUAWEI-002-SOL5"
"BTDRCLX33","HUAWEI-002-SOL5"
"BTDRCLX34","HUAWEI-002-SOL5"
"BTDRCLX35","HUAWEI-002-SOL5"
"BTDRCLX36","HUAWEI-002-SOL5"
"BTDRCLX37","HUAWEI-002-SOL5"
"BTDRCLX38","HUAWEI-002-SOL5"
"BTDRCLX39","HUAWEI-002-SOL5"
