"Lokasyon","Kabin_Adi","Host_Name","Host_Group","Protocol","IQN_WWN"
"ISTANBUL","PURE_005","SDTSTDB02","None","FC","C050760B140E00A8;C050760B140E00A9;C050760B140E00AA;C050760B140E00AB;C050760B140E00AC;C050760B140E00AD;C050760B140E00AE;C050760B140E00AF;C050760B140E00B0;C050760B140E00B1;C050760B140E00B2;C050760B140E00B3;C050760B140E00B4;C050760B140E00B5;C050760B140E00B6;C050760B140E00B7"
"ISTANBUL","PURE_005","FEAGTPRDDB03","FEAGTPRDDB0304","FC","51402EC012CCD07C;51402EC012CCD07E;51402EC012CCEAD8;51402EC012CCEADA"
"ISTANBUL","PURE_005","FEAGTPRDDB04","FEAGTPRDDB0304","FC","51402EC012CCEAA4;51402EC012CCEAA6;51402EC012CCEAD0;51402EC012CCEAD2"
"ISTANBUL","PURE_005","PSTSTESX14","PSTSTESX","FC","51402EC001C85DD8;51402EC001C85DDA;51402EC001C85E04;51402EC001C85E06"
"ISTANBUL","PURE_005","PSTSTESX15","PSTSTESX","FC","51402EC001C85C08;51402EC001C85C0A;51402EC001C85C28;51402EC001C85C2A"
"ISTANBUL","PURE_005","PSTSTESX16","PSTSTESX","FC","51402EC001C85A3C;51402EC001C85A3E;51402EC001C85C3C;51402EC001C85C3E"
"ISTANBUL","PURE_005","TNGPRDRAC01","TNGPRDRAC0102","FC","C050760C116A007A;C050760C116A007B;C050760C116A007C;C050760C116A007D;C050760C116A007E;C050760C116A007F;C050760C116A0080;C050760C116A0081;C050760C116A0082;C050760C116A0083;C050760C116A0084;C050760C116A0085;C050760C116A0086;C050760C116A0087;C050760C116A0088;C050760C116A0089"
"ISTANBUL","PURE_005","TNGPRDRAC02","TNGPRDRAC0102","FC","C050760C116C00A2;C050760C116C00A3;C050760C116C00A4;C050760C116C00A5;C050760C116C00A6;C050760C116C00A7;C050760C116C00A8;C050760C116C00A9;C050760C116C00AA;C050760C116C00AB;C050760C116C00AC;C050760C116C00AD;C050760C116C00AE;C050760C116C00AF;C050760C116C00B0;C050760C116C00B1"
"ISTANBUL","PURE_005","CLWPRDGENGPU1101","None","FC","1000B47AF1D2E730;1000B47AF1D2E739"
"ISTANBUL","PURE_005","CLWPRDGENGPU1102","None","FC","1000B47AF1D2E72A;1000B47AF1D2E72D"
"ISTANBUL","PURE_005","CLWPRDGENGPU1103","None","FC","1000B47AF1D2D730;1000B47AF1D2E73C"
"ISTANBUL","PURE_005","CLWPRDGENGPU1104","None","FC","1000B47AF1D27A78;1000B47AF1D27ABD"
"ISTANBUL","PURE_005","CLWPRDGENGPU1004","None","FC","1000B47AF1D2E706;1000B47AF1D2E709"
"ISTANBUL","PURE_005","PSTSTESX17","PSTSTESX","FC","51402EC001C85DDC;51402EC001C85DDE;51402EC001C85DFC;51402EC001C85DFE"
"ISTANBUL","PURE_005","PSTSTESX18","PSTSTESX","FC","51402EC001C85DE8;51402EC001C85DEA;51402EC001C85E08;51402EC001C85E0A"
"ISTANBUL","PURE_005","SCMPRDDB02","None","FC","51402EC0123FCC58;51402EC0123FCCE8"
"ISTANBUL","PURE_005","FEPRDVM02","HG-FEPRDVM-UNIX","FC","10001C98EC09DB12;10001C98EC09EB26"
"ISTANBUL","PURE_005","FEPRDVM01","HG-FEPRDVM-UNIX","FC","1000B47AF1D207AB;1000B47AF1D2309C"
"ISTANBUL","PURE_005","FEPRDVM03","HG-FEPRDVM-UNIX","FC","51402EC012CB7ED8;51402EC012CB8CDC"
"ISTANBUL","PURE_005","FEPRDVM04","HG-FEPRDVM-UNIX","FC","51402EC012CB817C;51402EC012CB8564"
"ISTANBUL","PURE_005","FEPRDVM07","HG-FEPRDVM-UNIX","FC","51402EC001CB3B48;51402EC001CB3B5A"
