"Lokasyon","Kabinet","Policy Adi","LUN / Obje","Host","Periyot","Saklama","Durum","Tip"
"Istanbul","UMR_CLS","default","vol_fraud_sashare_dev","GENERIC_TEST","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","CRM_ONLINE_root","CRM_ONLINE","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","DEPOT_root","DEPOT","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","vol_AV_orbis_audit","EXT_81195_3th","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","vol_maeprdapp","GENERIC_PROD","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","vol_auttstapp","DMZ_TEST","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","vol_femippreapp","CIGNA","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","vol_icpprdmst","GENERIC_PROD","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","uemprofiles","VDIPRDNAS01","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","vol_cbeduapp1011","GENERIC_PROD","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","GENERIC_DMZ_root","GENERIC_DMZ","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","GENERIC_TEST_root","GENERIC_TEST","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","SAN_root","SAN","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
