"Lokasyon","Fabric","SwitchName","PortIndex","Slot","Port","Speed","State","Role","PortWWN","Alias","EncOut","CRC","DiscC3","DiscC3Level","SFP"
"Istanbul","A","AI18FC187","288","6","0","64G","No_Light","Free",,"",,,"0","",""
"Istanbul","A","AI18FC187","289","6","1","32G","Online","Host","10:00:94:40:c9:ce:55:e1","2",,,"0","",""
"Istanbul","A","AI18FC187","290","6","2","32G","Online","Host","10:00:00:62:0b:43:73:d5","0",,,"54","warning",""
"Istanbul","A","AI18FC187","291","6","3","32G","Online","Host","10:00:94:40:c9:d0:c2:1f","3",,,"53","warning",""
"Istanbul","A","AI18FC187","292","6","4","64G","Online","Host","10:00:70:b7:e4:24:15:3f","Emulex PPN-10:00:70:b7:e4:24:15:3f",,,"0","",""
"Istanbul","A","AI18FC187","293","6","5","32G","Online","Host","28:b0:a8:d4:e0:5d:d4:a5","",,,"10","warning",""
"Istanbul","A","AI18FC187","294","6","6","32G","Online","Host","10:00:94:40:c9:d4:90:a5","Emulex PPN-10:00:94:40:c9:d4:90:a5",,,"0","",""
"Istanbul","A","AI18FC187","295","6","7","32G","Online","Host","10:00:94:40:c9:ce:52:de","Emulex PPN-10:00:94:40:c9:ce:52:de",,,"0","",""
"Istanbul","A","AI18FC187","296","6","8","16G","Online","Host","51:40:2e:c0:15:52:27:28","SN1100Q FW:v9.14.00 DVR:v10.02.09.100-k",,,"6","warning",""
"Istanbul","A","AI18FC187","297","6","9","32G","Online","Host","10:00:00:62:0b:43:53:6f","Emulex PPN-10:00:00:62:0b:43:53:6f",,,"0","",""
"Istanbul","A","AI18FC187","298","6","10","32G","Online","Host","10:00:94:40:c9:d4:81:7e","Emulex PPN-10:00:94:40:c9:d4:81:7e",,,"0","",""
"Istanbul","A","AI18FC187","299","6","11","32G","Online","Host","28:b0:cc:bc:e3:01:6e:35","",,,"0","",""
"Istanbul","A","AI18FC187","300","6","12","32G","Online","Storage","50:00:09:74:10:13:3b:cb","EMC-201230 ORC-0d b",,,"17","warning",""
"Istanbul","A","AI18FC187","301","6","13","16G","Online","Storage","50:06:0e:80:12:3e:f3:33","",,,"0","",""
"Istanbul","A","AI18FC187","302","6","14","32G","Online","Host","10:00:00:10:9b:d8:9c:f4","3",,,"0","",""
"Istanbul","A","AI18FC187","303","6","15","64G","No_Sync","Free",,"",,,"0","",""
"Istanbul","A","AI18FC187","304","6","16","64G","Online","Storage","52:4a:93:77:8a:df:89:06","",,,"0","",""
"Istanbul","A","AI18FC187","305","6","17","64G","No_Light","Free",,"",,,"0","",""
"Istanbul","A","AI18FC187","306","6","18","64G","No_Light","Free",,"",,,"0","",""
"Istanbul","A","AI18FC187","307","6","19","32G","Online","Host","10:00:94:40:c9:d0:95:4e","Emulex PPN-10:00:94:40:c9:d0:95:4e",,,"0","",""
"Istanbul","A","AI18FC187","308","6","20","32G","Online","Host","10:00:94:40:c9:d0:85:f0","0",,,"0","",""
"Istanbul","A","AI18FC187","309","6","21","32G","Online","Host",,"",,,"131","alarm",""
"Istanbul","A","AI18FC187","310","6","22","64G","No_Light","Free",,"",,,"0","",""
"Istanbul","A","AI18FC187","311","6","23","32G","Online","Host",,"",,,"66","warning",""
"Istanbul","A","AI18FC187","312","6","24","16G","Online","Host","51:40:2e:c0:15:51:d0:00","SN1100Q FW:v9.14.00 DVR:v5.4.85.0",,,"0","",""
"Istanbul","A","AI18FC187","313","6","25","64G","No_Light","Free",,"",,,"0","",""
"Istanbul","A","AI18FC187","314","6","26","16G","Online","Host","51:40:2e:c0:15:52:33:66","SN1100Q FW:v9.15.05 DVR:v10.02.08.200-k",,,"0","",""
"Istanbul","A","AI18FC187","315","6","27","64G","Online","Host","10:00:70:b7:e4:24:15:6c","Emulex PPN-10:00:70:b7:e4:24:15:6c",,,"0","",""
"Istanbul","A","AI18FC187","316","6","28","16G","Online","Host","51:40:2e:c0:15:52:28:e0","",,,"0","",""
"Istanbul","A","AI18FC187","317","6","29","32G","Online","Host","21:00:f4:c7:aa:04:ad:0d","",,,"0","",""
"Istanbul","A","AI18FC187","318","6","30","16G","Online","Host","10:00:94:40:c9:0f:32:e1","Emulex PPN-10:00:94:40:C9:0F:32:E1",,,"0","",""
