"Lokasyon","Fabric","SwitchName","PortIndex","PortWWN","Alias","State","Speed"
"Istanbul","A","AI18FC187","487","51:40:2e:c0:12:3f:4c:c0","SN1100Q FW:v9.15.00 DVR:v5.3.82.0","Online","16G"
"Istanbul","A","AI18FC187","488","28:11:cc:bc:e3:01:6e:35","","Online","32G"
"Istanbul","A","AI18FC187","489","28:11:a8:d4:e0:5d:d4:a5","","Online","32G"
"Istanbul","A","AI18FC187","490","51:40:2e:c0:01:ca:a1:56","SN1100Q FW:v9.15.00 DVR:v10.02.09.100-k","Online","16G"
"Istanbul","A","AI18FC187","491","10:00:00:62:0b:43:59:18","Emulex PPN-10:00:00:62:0b:43:59:18","Online","32G"
"Istanbul","A","AI18FC187","492","51:40:2e:c0:11:08:97:5c","SN1100Q FW:v9.14.00 DVR:v5.4.83.1","Online","16G"
"Istanbul","A","AI18FC187","495","51:40:2e:c0:01:ca:b4:b2","SN1100Q FW:v9.15.05 DVR:v5.4.86.0","Online","16G"
"Istanbul","A","AI18FC187","496","29:a1:cc:bc:e3:01:6e:35","","Online","32G"
"Istanbul","A","AI18FC187","497","10:00:94:40:c9:0f:32:0f","Emulex PPN-10:00:94:40:C9:0F:32:0F","Online","16G"
"Istanbul","A","AI18FC187","498","10:00:94:40:c9:d0:76:a8","Emulex PPN-10:00:94:40:C9:D0:76:A8","Online","32G"
"Istanbul","A","AI18FC187","499","28:22:ac:99:29:92:39:7f","","Online","32G"
"Istanbul","A","AI18FC187","500","51:40:2e:c0:12:40:ae:94","","Online","16G"
"Istanbul","A","AI18FC187","502","51:40:2e:c0:12:cb:15:fe","","Online","16G"
"Istanbul","A","AI18FC187","503","51:40:2e:c0:11:09:4e:7e","SN1100Q FW:v9.15.00 DVR:v5.4.83.1","Online","16G"
"Istanbul","A","AI18FC187","504","10:00:5c:ed:8c:55:79:b8","Emulex PPN-10:00:5c:ed:8c:55:79:b8","Online","64G"
"Istanbul","A","AI18FC187","506","51:40:2e:c0:12:cb:7e:d8","SN1100Q FW:v9.15.05 DVR:v5.4.85.0","Online","16G"
"Istanbul","A","AI18FC187","507","28:22:a8:d4:e0:5d:d4:d8","","Online","32G"
"Istanbul","A","AI18FC187","510","51:40:2e:c0:14:84:28:d0","SN1100Q FW:v9.15.05 DVR:v5.4.81.2","Online","16G"
"Istanbul","A","AI18FC187","512","51:40:2e:c0:01:ca:a1:06","SN1100Q FW:v9.15.00 DVR:v10.02.09.100-k","Online","16G"
"Istanbul","A","AI18FC187","513","51:40:2e:c0:11:09:df:72","","Online","16G"
"Istanbul","A","AI18FC187","515","51:40:2e:c0:11:09:dd:76","","Online","16G"
"Istanbul","A","AI18FC187","517","29:72:a8:d4:e0:5d:d4:b7","","Online","32G"
"Istanbul","A","AI18FC187","518","51:40:2e:c0:01:ca:b6:4c","SN1100Q FW:v9.14.00 DVR:v10.02.09.100-k","Online","16G"
"Istanbul","A","AI18FC187","522","51:40:2e:c0:01:ca:a0:aa","SN1100Q FW:v9.15.00 DVR:v10.02.09.100-k","Online","16G"
"Istanbul","A","AI18FC187","525","51:40:2e:c0:12:cb:16:2e","SN1100Q FW:v9.15.00 DVR:v5.4.81.2","Online","16G"
"Istanbul","A","AI18FC187","526","10:00:94:40:c9:d0:ff:c6","Emulex PPN-10:00:94:40:c9:d0:ff:c6","Online","32G"
"Istanbul","A","AI18FC187","527","51:40:2e:c0:14:84:28:e0","SN1100Q FW:v9.15.05 DVR:v5.4.81.2","Online","16G"
"Istanbul","A","AI18FC187","576","29:a1:a8:d4:e0:5d:d4:a5","","Online","32G"
"Istanbul","A","AI18FC187","578","28:11:cc:bc:e3:01:6e:38","","Online","32G"
"Istanbul","A","AI18FC187","579","10:00:94:40:c9:d0:52:36","Emulex PPN-10:00:94:40:c9:d0:52:36","Online","32G"
"Istanbul","A","AI18FC187","580","21:00:f4:c7:aa:05:10:96","","Online","32G"
"Istanbul","A","AI18FC187","581","51:40:2e:c0:12:cb:1c:e4","QLogic Port0 WWPN 51:40:2e:c0:12:cb:1c:e4.......................","Online","16G"
"Istanbul","A","AI18FC187","583","10:00:94:40:c9:d0:ce:6c","Emulex PPN-10:00:94:40:c9:d0:ce:6c","Online","32G"
"Istanbul","A","AI18FC187","585","10:00:94:40:c9:d4:97:a2","Emulex PPN-10:00:94:40:c9:d4:97:a2","Online","32G"
"Istanbul","A","AI18FC187","586","51:40:2e:c0:12:ca:e8:44","QLogic Port0 WWPN 51:40:2e:c0:12:ca:e8:44.......................","Online","16G"
"Istanbul","A","AI18FC187","588","10:00:00:62:0b:43:62:1b","Emulex PPN-10:00:00:62:0B:43:62:1B","Online","32G"
"Istanbul","A","AI18FC187","590","10:00:00:62:0b:43:5a:30","Emulex PPN-10:00:00:62:0b:43:5a:30","Online","32G"
"Istanbul","A","AI18FC187","591","10:00:94:40:c9:d4:80:f4","Emulex PPN-10:00:94:40:c9:d4:80:f4","Online","32G"
"Istanbul","A","AI18FC187","594","51:40:2e:c0:01:ca:6e:d8","","Online","16G"
"Istanbul","A","AI18FC187","595","51:40:2e:c0:12:3f:cc:b4","","Online","16G"
"Istanbul","A","AI18FC187","596","10:00:00:62:0b:43:55:75","Emulex PPN-10:00:00:62:0b:43:55:75","Online","32G"
"Istanbul","A","AI18FC187","599","10:00:b4:7a:f1:6e:fb:3c","Emulex PPN-10:00:b4:7a:f1:6e:fb:3c","Online","32G"
"Istanbul","A","AI18FC187","600","10:00:94:40:c9:d0:a5:0c","0","Online","32G"
"Istanbul","A","AI18FC187","602","29:92:a8:d4:e0:5d:d4:d8","","Online","32G"
"Istanbul","A","AI18FC187","604","29:a1:cc:bc:e3:01:6e:38","","Online","32G"
"Istanbul","A","AI18FC187","605","21:00:f4:c7:aa:04:ac:bb","","Online","32G"
"Istanbul","A","AI18FC187","606","10:00:94:40:c9:d0:36:81","Emulex PPN-10:00:94:40:c9:d0:36:81","Online","32G"
"Istanbul","A","AI18FC187","607","10:00:5c:ed:8c:55:29:b1","Emulex PPN-10:00:5C:ED:8C:55:29:B1","Online","64G"
"Istanbul","A","AI18FC187","608","10:00:b4:7a:f1:69:e1:9c","Emulex PPN-10:00:b4:7a:f1:69:e1:9c","Online","32G"
"Istanbul","A","AI18FC187","609","51:40:2e:c0:11:09:c1:b8","SN1100Q FW:v9.15.05 DVR:v10.02.09.100-k","Online","16G"
"Istanbul","A","AI18FC187","610","10:00:00:62:0b:42:44:c9","2","Online","64G"
"Istanbul","A","AI18FC187","613","21:00:f4:c7:aa:05:d1:d7","","Online","32G"
"Istanbul","A","AI18FC187","614","10:00:70:b7:e4:24:14:93","Emulex PPN-10:00:70:b7:e4:24:14:93","Online","64G"
"Istanbul","A","AI18FC187","615","29:92:b4:89:01:d6:27:9a","","Online","32G"
"Istanbul","A","AI18FC187","616","21:00:f4:c7:aa:05:d1:09","","Online","32G"
"Istanbul","A","AI18FC187","618","10:00:5c:ed:8c:55:79:09","2","Online","64G"
"Istanbul","A","AI18FC187","620","28:52:cc:bc:e3:01:6d:fe","","Online","32G"
"Istanbul","A","AI18FC187","622","10:00:00:62:0b:42:45:3d","1","Online","64G"
"Istanbul","A","AI18FC187","623","10:00:94:40:c9:ce:55:b4","2","Online","32G"
"Istanbul","A","AI18FC187","673","28:11:a8:d4:e0:5d:d4:b7","","Online","32G"
"Istanbul","A","AI18FC187","675","51:40:2e:c0:12:cc:ea:a4","SN1100Q FW:v9.15.05 DVR:v10.02.09.100-k","Online","16G"
"Istanbul","A","AI18FC187","676","10:00:94:40:c9:d0:d3:81","Emulex PPN-10:00:94:40:c9:d0:d3:81","Online","32G"
"Istanbul","A","AI18FC187","678","51:40:2e:c0:12:40:a6:34","SN1100Q FW:v9.09.00 DVR:v10.02.09.100-k","Online","16G"
"Istanbul","A","AI18FC187","680","10:00:94:40:c9:d4:b7:a5","2","Online","32G"
"Istanbul","A","AI18FC187","681","10:00:94:40:c9:d0:95:f0","2","Online","32G"
"Istanbul","A","AI18FC187","682","10:00:94:40:c9:0f:32:81","Emulex PPN-10:00:94:40:C9:0F:32:81","Online","16G"
