"Lokasyon","Kabinet","Host Name","OS","Host Group","Protocol","Provisioned (TB)","Host WWN"
"Istanbul","PURE_07B","PURE-EE18-005:ELKPRDDAT09","Linux","","FC","0","10:00:00:62:0b:43:73:cf | 10:00:00:62:0b:43:74:00"
"Istanbul","PURE_07B","PURE-EE18-005:ALOPRDKFK16","Linux","","FC","0","10:00:94:40:c9:d0:72:ee | 10:00:94:40:c9:d0:82:04"
"Istanbul","PURE_07B","PURE-EE18-005:KYSTSTDB01","AIX","","FC","0","c0:50:76:01:0f:26:00:38 | c0:50:76:01:0f:26:00:39 | c0:50:76:01:0f:26:00:3a | c0:50:76:01:0f:26:00:3b | c0:50:76:01:0f:26:00:3c | c0:50:76:01:0f:26:00:3d | c0:50:76:01:0f:26:00:3e | c0:50:76:01:0f:26:00:3f | c0:50:76:04:36:13:03:52 | c0:50:76:04:36:13:03:53 | c0:50:76:04:36:13:03:54 | c0:50:76:04:36:13:03:55 | c0:50:76:04:36:13:03:56 | c0:50:76:04:36:13:03:57 | c0:50:76:04:36:13:03:58 | c0:50:76:04:36:13:03:59"
"Istanbul","PURE_07B","PURE-EE18-005:FBPRDVM03","VMware ESX","PURE-EE18-005:VDIPRDVM","FC","0","10:00:94:40:c9:d0:3b:7b | 10:00:94:40:c9:d0:47:09"
"Istanbul","PURE_07B","PURE-EE18-005:FBPRDVM06","VMware ESX","PURE-EE18-005:VDIPRDVM","FC","0","10:00:94:40:c9:d0:0b:de | 10:00:94:40:c9:d0:37:f3"
"Istanbul","PURE_07B","PURE-EE18-005:FBPRDVM16","VMware ESX","PURE-EE18-005:VDIPRDVM","FC","0","10:00:94:40:c9:d0:37:3c | 10:00:94:40:c9:d0:3b:b7"
"Istanbul","PURE_07B","PURE-EE18-005:BDPPRDEDG02","Linux","","FC","0","10:00:00:62:0b:42:3b:c9 | 10:00:00:62:0b:42:3c:54"
"Istanbul","PURE_07B","PURE-EE18-005:PSPRDESX25","VMware ESX","PURE-EE18-005:PSTSTESX","FC","0","10:00:00:10:9b:dd:ee:09 | 10:00:00:10:9b:dd:ee:0a | 10:00:00:10:9b:dd:ee:0c | 10:00:00:10:9b:dd:ee:0d"
"Istanbul","PURE_07B","PURE-EE18-005:PSPRDESX26","VMware ESX","PURE-EE18-005:PSPRDESX","FC","0","10:00:00:10:9b:dd:ee:0f | 10:00:00:10:9b:dd:ee:10 | 10:00:00:10:9b:dd:ee:15 | 10:00:00:10:9b:dd:ee:16"
"Istanbul","PURE_07B","PURE-EE18-005:PGMPRDCAS01","Linux","","FC","0","51:40:2e:c0:01:ca:a1:54 | 51:40:2e:c0:01:ca:a1:56"
"Istanbul","PURE_07B","PURE-EE18-005:PGMPRDCAS02","Linux","","FC","0","51:40:2e:c0:01:ca:a1:04 | 51:40:2e:c0:01:ca:a1:06"
"Istanbul","PURE_07B","PURE-EE18-005:PGMPRDCAS03","Linux","","FC","0","51:40:2e:c0:01:ca:a0:a8 | 51:40:2e:c0:01:ca:a0:aa"
"Istanbul","PURE_07B","PURE-EE18-005:PGMPRDCAS04","Linux","","FC","0","51:40:2e:c0:01:ca:a0:78 | 51:40:2e:c0:01:ca:a0:7a"
"Istanbul","PURE_07B","PURE-EE18-005:PGMPRDCAS05","Linux","","FC","0","51:40:2e:c0:01:ca:a0:68 | 51:40:2e:c0:01:ca:a0:6a"
"Istanbul","PURE_07B","PURE-EE18-005:FBPRDVM96","VMware ESX","PURE-EE18-005:VDIPRDVM","FC","0","51:40:2e:c0:01:ca:7a:50 | 51:40:2e:c0:01:ca:a3:48"
"Istanbul","PURE_07B","PURE-EE18-005:FBPRDESX12","VMware ESX","PURE-EE18-005:VDIPRDVM","FC","0","51:40:2e:c0:12:3f:4b:52 | 51:40:2e:c0:12:3f:4c:c0"
"Istanbul","PURE_07B","PURE-EE18-005:KSAODITSTDB01","AIX","","FC","0","c0:50:76:0c:11:6c:00:40 | c0:50:76:0c:11:6c:00:41 | c0:50:76:0c:11:6c:00:42 | c0:50:76:0c:11:6c:00:43 | c0:50:76:0c:11:6c:00:44 | c0:50:76:0c:11:6c:00:45 | c0:50:76:0c:11:6c:00:46 | c0:50:76:0c:11:6c:00:47 | c0:50:76:0c:11:6c:00:48 | c0:50:76:0c:11:6c:00:49 | c0:50:76:0c:11:6c:00:4a | c0:50:76:0c:11:6c:00:4b | c0:50:76:0c:11:6c:00:4c | c0:50:76:0c:11:6c:00:4d | c0:50:76:0c:11:6c:00:4e | c0:50:76:0c:11:6c:00:4f"
"Istanbul","PURE_07B","PURE-EE18-005:ELKPRDDAT06","Linux","","FC","0","10:00:94:40:c9:d0:95:a5 | 10:00:94:40:c9:d0:a5:0c"
"Istanbul","PURE_07B","PURE-EE18-005:PGMPRDRAC01","Linux","PURE-EE18-005:PGMPRDRAC0102","FC","0","51:40:2e:c0:01:ca:6e:d8 | 51:40:2e:c0:01:ca:6e:da | 51:40:2e:c0:01:ca:6e:dc | 51:40:2e:c0:01:ca:6e:de"
"Istanbul","PURE_07B","PURE-EE18-005:PGMPRDRAC02","Linux","PURE-EE18-005:PGMPRDRAC0102","FC","0","51:40:2e:c0:01:ca:79:0c | 51:40:2e:c0:01:ca:79:0e"
"Istanbul","PURE_07B","PURE-EE18-005:CBDEVDB01","AIX","","FC","0","c0:50:76:06:df:53:00:c2 | c0:50:76:06:df:53:00:c3 | c0:50:76:06:df:53:00:c4 | c0:50:76:06:df:53:00:c5 | c0:50:76:06:df:53:00:c6 | c0:50:76:06:df:53:00:c7 | c0:50:76:06:df:53:00:c8 | c0:50:76:06:df:53:00:c9 | c0:50:76:06:df:53:00:ca | c0:50:76:06:df:53:00:cb | c0:50:76:06:df:53:00:cc | c0:50:76:06:df:53:00:cd | c0:50:76:06:df:53:00:ce | c0:50:76:06:df:53:00:cf | c0:50:76:06:df:53:00:d0 | c0:50:76:06:df:53:00:d1"
"Istanbul","PURE_07B","PURE-EE18-005:SWPRDMGW02","AIX","","FC","0","c0:50:76:0c:11:6c:00:60 | c0:50:76:0c:11:6c:00:61 | c0:50:76:0c:11:6c:00:62 | c0:50:76:0c:11:6c:00:63 | c0:50:76:0c:11:6c:00:64 | c0:50:76:0c:11:6c:00:65 | c0:50:76:0c:11:6c:00:66 | c0:50:76:0c:11:6c:00:67 | c0:50:76:0c:11:6c:00:68 | c0:50:76:0c:11:6c:00:69 | c0:50:76:0c:11:6c:00:6a | c0:50:76:0c:11:6c:00:6b | c0:50:76:0c:11:6c:00:6c | c0:50:76:0c:11:6c:00:6d | c0:50:76:0c:11:6c:00:6e | c0:50:76:0c:11:6c:00:6f"
"Istanbul","PURE_07B","PURE-EE18-005:SWPRDMGW01","AIX","","FC","0","c0:50:76:0c:11:6a:00:30 | c0:50:76:0c:11:6a:00:31 | c0:50:76:0c:11:6a:00:32 | c0:50:76:0c:11:6a:00:33 | c0:50:76:0c:11:6a:00:34 | c0:50:76:0c:11:6a:00:35 | c0:50:76:0c:11:6a:00:36 | c0:50:76:0c:11:6a:00:37 | c0:50:76:0c:11:6a:00:38 | c0:50:76:0c:11:6a:00:39 | c0:50:76:0c:11:6a:00:3a | c0:50:76:0c:11:6a:00:3b | c0:50:76:0c:11:6a:00:3c | c0:50:76:0c:11:6a:00:3d | c0:50:76:0c:11:6a:00:3e | c0:50:76:0c:11:6a:00:3f"
"Istanbul","PURE_07B","PURE-EE18-005:ELKPRDDAT10","Linux","","FC","0","10:00:94:40:c9:d4:b7:a5 | 10:00:94:40:c9:d4:d7:3f"
"Istanbul","PURE_07B","PURE-EE18-005:KFTPRDRAC01","AIX","PURE-EE18-005:KFTPRDRAC0102","FC","0","c0:50:76:0c:11:6a:00:40 | c0:50:76:0c:11:6a:00:41 | c0:50:76:0c:11:6a:00:42 | c0:50:76:0c:11:6a:00:43 | c0:50:76:0c:11:6a:00:44 | c0:50:76:0c:11:6a:00:45 | c0:50:76:0c:11:6a:00:46 | c0:50:76:0c:11:6a:00:47 | c0:50:76:0c:11:6a:00:48 | c0:50:76:0c:11:6a:00:49 | c0:50:76:0c:11:6a:00:4a | c0:50:76:0c:11:6a:00:4b | c0:50:76:0c:11:6a:00:4c | c0:50:76:0c:11:6a:00:4d | c0:50:76:0c:11:6a:00:4e | c0:50:76:0c:11:6a:00:4f"
"Istanbul","PURE_07B","PURE-EE18-005:KFTPRDRAC02","AIX","PURE-EE18-005:KFTPRDRAC0102","FC","0","c0:50:76:0c:11:6c:00:70 | c0:50:76:0c:11:6c:00:71 | c0:50:76:0c:11:6c:00:72 | c0:50:76:0c:11:6c:00:73 | c0:50:76:0c:11:6c:00:74 | c0:50:76:0c:11:6c:00:75 | c0:50:76:0c:11:6c:00:76 | c0:50:76:0c:11:6c:00:77 | c0:50:76:0c:11:6c:00:78 | c0:50:76:0c:11:6c:00:79 | c0:50:76:0c:11:6c:00:7a | c0:50:76:0c:11:6c:00:7b | c0:50:76:0c:11:6c:00:7c | c0:50:76:0c:11:6c:00:7d | c0:50:76:0c:11:6c:00:7e | c0:50:76:0c:11:6c:00:7f"
